epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,2590.85,0.795,0.53145,1.20093,0.95251,0.98482,0.98445,0.78029,0.93683,0.37879,1.35835,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
52,2640.38,0.79498,0.53678,1.20048,0.95227,0.97926,0.9842,0.78574,0.92905,0.37462,1.34866,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
53,2691.22,0.79089,0.5317,1.19799,0.9655,0.97266,0.98387,0.79023,0.92054,0.37199,1.34547,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
54,2741.06,0.79322,0.52253,1.19493,0.94091,0.98363,0.98138,0.78661,0.9242,0.37354,1.34297,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
55,2791.38,0.78793,0.51706,1.19239,0.96596,0.97793,0.98481,0.78361,0.92874,0.37707,1.35176,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
56,2841.35,0.78817,0.51427,1.19037,0.96455,0.9674,0.98351,0.78596,0.92256,0.37329,1.34609,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
57,2890.88,0.7856,0.52321,1.19392,0.96178,0.96178,0.98301,0.78257,0.93297,0.37879,1.3585,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
58,2942.07,0.78407,0.51228,1.19087,0.96826,0.95939,0.98219,0.78939,0.92553,0.37472,1.34551,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
59,2991.41,0.78372,0.51319,1.18903,0.96399,0.98152,0.98476,0.78959,0.92367,0.37695,1.34639,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
60,3042.31,0.78539,0.51309,1.18912,0.96545,0.96122,0.98273,0.78855,0.92534,0.37513,1.34903,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
61,3091.93,0.77577,0.50749,1.18176,0.94243,0.97477,0.97913,0.78526,0.92526,0.3675,1.34629,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
62,3142.05,0.7817,0.50145,1.18747,0.96824,0.96769,0.98585,0.79255,0.92219,0.3659,1.34126,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
63,3192.77,0.78139,0.50798,1.18901,0.97154,0.96462,0.98408,0.79478,0.92279,0.3646,1.34329,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448
64,3243.34,0.77333,0.50372,1.18459,0.96711,0.98073,0.98552,0.78627,0.92761,0.36639,1.34896,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052
65,3294.26,0.77206,0.49462,1.18288,0.97391,0.97681,0.9858,0.79236,0.92434,0.36467,1.34846,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656
66,3343.73,0.77139,0.4989,1.1819,0.95899,0.98304,0.98588,0.78838,0.92648,0.36413,1.34782,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
67,3394.2,0.76823,0.49985,1.18158,0.96897,0.96499,0.98479,0.78998,0.92643,0.363,1.34968,0.0221592,0.0073864,0.0221592,0.0073864,0.0221592,0.0073864,0.0221592,0.0073864
68,3444.08,0.7646,0.4918,1.17562,0.95311,0.98468,0.98354,0.79078,0.92907,0.35935,1.35023,0.0220404,0.0073468,0.0220404,0.0073468,0.0220404,0.0073468,0.0220404,0.0073468
69,3493.57,0.77383,0.49378,1.18104,0.95366,0.98291,0.98302,0.78946,0.93065,0.36589,1.3542,0.0219216,0.0073072,0.0219216,0.0073072,0.0219216,0.0073072,0.0219216,0.0073072
70,3544.51,0.76453,0.49175,1.17875,0.96465,0.97349,0.9838,0.78984,0.92764,0.36345,1.35043,0.0218028,0.0072676,0.0218028,0.0072676,0.0218028,0.0072676,0.0218028,0.0072676
71,3594.23,0.76557,0.49296,1.17842,0.97366,0.95119,0.98441,0.78875,0.92796,0.36288,1.3529,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
72,3645.1,0.76026,0.48825,1.17717,0.97315,0.97403,0.98552,0.79261,0.92722,0.36728,1.35272,0.0215652,0.0071884,0.0215652,0.0071884,0.0215652,0.0071884,0.0215652,0.0071884
73,3694.65,0.76182,0.48422,1.17385,0.96745,0.96768,0.98418,0.79283,0.92292,0.3625,1.34718,0.0214464,0.0071488,0.0214464,0.0071488,0.0214464,0.0071488,0.0214464,0.0071488
74,3744.61,0.76381,0.49124,1.17882,0.94258,0.98849,0.98305,0.79027,0.92507,0.362,1.35003,0.0213276,0.0071092,0.0213276,0.0071092,0.0213276,0.0071092,0.0213276,0.0071092
75,3794.94,0.76232,0.48427,1.17935,0.96555,0.96919,0.98357,0.78911,0.92383,0.3645,1.34744,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696
76,3844.54,0.75964,0.47822,1.17449,0.97091,0.95802,0.98196,0.79166,0.92411,0.36095,1.34732,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
77,3895.4,0.75318,0.47862,1.17463,0.96842,0.96825,0.98478,0.79378,0.92686,0.36126,1.35286,0.0209712,0.0069904,0.0209712,0.0069904,0.0209712,0.0069904,0.0209712,0.0069904
78,3945.05,0.76085,0.48112,1.17799,0.97709,0.95161,0.98113,0.79189,0.92524,0.36587,1.34976,0.0208524,0.0069508,0.0208524,0.0069508,0.0208524,0.0069508,0.0208524,0.0069508
79,3996.15,0.75694,0.47736,1.17386,0.95433,0.96401,0.98031,0.79067,0.92486,0.36403,1.35161,0.0207336,0.0069112,0.0207336,0.0069112,0.0207336,0.0069112,0.0207336,0.0069112
80,4045.89,0.75373,0.47885,1.17487,0.96535,0.97188,0.9858,0.8005,0.92366,0.35956,1.35162,0.0206148,0.0068716,0.0206148,0.0068716,0.0206148,0.0068716,0.0206148,0.0068716
81,4095.72,0.74774,0.47253,1.16869,0.96018,0.98144,0.98546,0.80002,0.91634,0.3604,1.34622,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
